chat_history,current_prompt,expected_output
"Didn’t feel like cooking, so I just made a sandwich.","Mhm, add 'lazy dinner' at the end.","Didn’t feel like cooking, so I just made a sandwich. Lazy dinner."
"Walked by a bakery. The smell was amazing.","Hmm, add 'should've bought something' at the end.","Walked by a bakery. The smell was amazing. Should've bought something."
"Played chess with Alex. Barely won.","Uh, replace 'Barely won' with 'It was super close'.","Played chess with Alex. It was super close."
"Organized my desk. Looks way better now.","Oh, put 'but it probably won’t last' at the end.","Organized my desk. Looks way better now, but it probably won’t last."
"Got a package in the mail. Took forever to arrive.","Mmm, change 'forever' to 'like three weeks'.","Got a package in the mail. Took like three weeks to arrive."
"Helped my friend move. So much lifting.","Uh, add 'my arms are dead' at the end.","Helped my friend move. So much lifting. My arms are dead."
"Played a new board game. Took a while to learn the rules.","Oh, add 'but fun once we got it' at the end.","Played a new board game. Took a while to learn the rules, but fun once we got it."
"Had a smoothie for breakfast. Super refreshing.","Hmm, replace 'Super refreshing' with 'Best way to start the day'.","Had a smoothie for breakfast. Best way to start the day."
"Visited a bookstore. Found a cool poetry collection.","Uh, put 'might grab it next time' at the end.","Visited a bookstore. Found a cool poetry collection. Might grab it next time."
"Watched a horror movie. Definitely not sleeping tonight.","Oh, remove 'Definitely not sleeping tonight'.","Watched a horror movie."
"Did some stretching this morning. Felt nice.","Mhm, add 'should do it more often' at the end.","Did some stretching this morning. Felt nice. Should do it more often."
"Cleaned out my inbox. So many unread emails.","Hmm, put 'but I probably missed something important' at the end.","Cleaned out my inbox. So many unread emails, but I probably missed something important."
"Went for a late-night walk. Super peaceful.","Uh, add 'kinda spooky though' at the end.","Went for a late-night walk. Super peaceful, kinda spooky though."
"Finally fixed my bike. Took way too long.","Oh wait, delete 'Took way too long'.","Finally fixed my bike."
"Made cookies today. House smells amazing.","Mmm, put 'should bake more often' at the end.","Made cookies today. House smells amazing. Should bake more often."
"Tried meditating for the first time. Felt weird at first.","So like, swap 'weird' with 'a little awkward'.","Tried meditating for the first time. Felt a little awkward at first."
"Accidentally napped for two hours. Oops.","Uh, replace 'Oops' with 'Who even needed that much sleep?'.","Accidentally napped for two hours. Who even needed that much sleep?"
"Watched that movie you recommended. It was alright.","Actually, add 'but kinda long' at the end.","Watched that movie you recommended. It was alright, but kinda long."
"Finally started that book. Took me forever to get to it.","Wait, put 'but I’m hooked now' at the end.","Finally started that book. Took me forever to get to it, but I’m hooked now."
"Made some tea. Went with chamomile this time.","Nah actually, change 'chamomile' to 'peppermint'.","Made some tea. Went with peppermint this time."
"Had pasta for dinner. Added extra cheese.","No, replace 'extra' with 'way too much'.","Had pasta for dinner. Added way too much cheese."
"Stayed up late again. Probably not a great idea.","Oop, erase 'Probably not a great idea'.","Stayed up late again."
"Finally cleaned my car. Took forever.","Whoops, add 'but now it looks amazing' at the end.","Finally cleaned my car. Took forever, but now it looks amazing."
"Played a few rounds of that new game. Pretty fun.","Actually, make that 'super addicting'.","Played a few rounds of that new game. Super addicting."
"Went for a run. Felt pretty good.","Wait, put 'except my legs are dead now' at the end.","Went for a run. Felt pretty good, except my legs are dead now."
"Got a coffee on the way to work. Needed that caffeine boost.","No, move 'Needed that caffeine boost' to the beginning.","Needed that caffeine boost. Got a coffee on the way to work."
"Started a new TV series. First episode was solid.","Actually, add 'but not sure if I’ll stick with it' at the end.","Started a new TV series. First episode was solid, but not sure if I’ll stick with it."
"Made breakfast for once. Scrambled eggs and toast.","Whoops, change 'Scrambled' to 'Burnt'.","Made breakfast for once. Burnt eggs and toast."
"Finally did laundry. Closet is restocked.","Oop, add 'until I forget again' at the end.","Finally did laundry. Closet is restocked, until I forget again."
"Watched a documentary last night. Learned a lot.","Nah actually, delete 'Learned a lot'.","Watched a documentary last night."
"Walked past a bakery. Smelled amazing.","Wait, add 'should’ve stopped in' at the end.","Walked past a bakery. Smelled amazing. Should’ve stopped in."
"Spent way too much time on my phone today. Oops.","Actually, replace 'Oops' with 'As usual'.","Spent way too much time on my phone today. As usual."
"Got a new chair for my desk. Super comfy.","No, move 'Super comfy' to the beginning.","Super comfy. Got a new chair for my desk."
"Had lunch outside. Weather was perfect.","Actually, make that 'a little too hot'.","Had lunch outside. Weather was a little too hot."
"Read a few pages of my book. Getting interesting.","Whoops, change 'Getting' to 'Already'.","Read a few pages of my book. Already interesting."
"Checked my emails. So many unread ones.","Nah actually, delete 'So many unread ones'.","Checked my emails."
"Cleaned out the fridge. Found some... questionable stuff.","Oop, add 'had to throw a lot out' at the end.","Cleaned out the fridge. Found some... questionable stuff. Had to throw a lot out."
"Spent the afternoon reorganizing my bookshelf. Looks way better now.","Wait, put 'for now' at the end.","Spent the afternoon reorganizing my bookshelf. Looks way better now, for now."
"Had a quick nap. Feel much better.","Actually, make that 'somehow more tired'.","Had a quick nap. Feel somehow more tired."
"Walked my dog in the morning. He was extra hyper today.","Whoops, replace 'extra' with 'ridiculously'.","Walked my dog in the morning. He was ridiculously hyper today."
"Started journaling again. Feels nice to write things down.","No, move 'Feels nice to write things down' to the beginning.","Feels nice to write things down. Started journaling again."
"Had a snack. Just some chips.","Actually, add 'and way too many' before 'chips'.","Had a snack. Just some, and way too many, chips."
"Finally finished that big project at work. Such a relief.","Oop, put 'but now I’m exhausted' at the end.","Finally finished that big project at work. Such a relief, but now I’m exhausted."
"Did some stretching. Felt pretty good.","Nah actually, change 'pretty good' to 'surprisingly great'.","Did some stretching. Felt surprisingly great."
"Bought some new shoes. Super comfy.","Wait, put 'but kinda expensive' at the end.","Bought some new shoes. Super comfy, but kinda expensive."
"Made hot chocolate. Added extra marshmallows.","Actually, make that 'a ridiculous amount of marshmallows'.","Made hot chocolate. Added a ridiculous amount of marshmallows."
"Finally found my missing earbuds. They were in my bag the whole time.","Whoops, erase 'They were in my bag the whole time'.","Finally found my missing earbuds."
"Had cereal for dinner. No regrets.","Oop, change 'No regrets' to 'Best decision ever'.","Had cereal for dinner. Best decision ever."
"Watched the sunset. Looked amazing.","Actually, add 'should do this more often' at the end.","Watched the sunset. Looked amazing. Should do this more often."
"Made some toast. Burnt the first batch.","No, move 'Burnt the first batch' to the beginning.","Burnt the first batch. Made some toast."
"Finally took out the trash. Shouldn’t have waited so long.","Wait, put 'lesson not learned' at the end.","Finally took out the trash. Shouldn’t have waited so long. Lesson not learned."
"Had a long conversation with an old friend. Really nice catch-up.","Actually, make that 'way overdue'.","Had a long conversation with an old friend. Way overdue."
"Cooked dinner from scratch. Took longer than expected.","Whoops, erase 'Took longer than expected'.","Cooked dinner from scratch."
"Watched a bunch of YouTube videos. Time well spent?","Oop, add 'probably not' at the end.","Watched a bunch of YouTube videos. Time well spent? Probably not."
"Cleaned my room today. Feels way better now.","Nah actually, add 'until I mess it up again' at the end.","Cleaned my room today. Feels way better now, until I mess it up again."
"Finally started exercising again. Let's see how long this lasts.","No, move 'Let's see how long this lasts' to the beginning.","Let's see how long this lasts. Finally started exercising again."
"Tried a new coffee place. Pretty good.","Actually, make that 'dangerously good'.","Tried a new coffee place. Dangerously good."
"Downloaded a new app. Not sure if I’ll actually use it.","Wait, erase 'Not sure if I’ll actually use it'.","Downloaded a new app."
"Watched some old childhood cartoons. Total nostalgia trip.","Oop, add 'need to do this more often' at the end.","Watched some old childhood cartoons. Total nostalgia trip. Need to do this more often."
"Made my bed for once. Looks nice.","Whoops, add 'but won’t last' at the end.","Made my bed for once. Looks nice, but won’t last."
"Finally backed up my files. Took forever.","No, replace 'Took forever' with 'About time'.","Finally backed up my files. About time."
"Had a lazy Sunday. Did absolutely nothing.","Actually, add 'and it was great' at the end.","Had a lazy Sunday. Did absolutely nothing, and it was great."
"Finally finished my essay. Took forever.","Wait, put 'but it still needs edits' at the end.","Finally finished my essay. Took forever, but it still needs edits."
"Read through the article draft. Needs some restructuring.","Whoops, add 'especially the intro' at the end.","Read through the article draft. Needs some restructuring, especially the intro."
"Collected all my sources for the paper. Organized them by topic.","Nah actually, change 'by topic' to 'by date'.","Collected all my sources for the paper. Organized them by date."
"Interviewed the professor about the new policy changes. Got some great quotes.","Oop, add 'but need to fact-check one' at the end.","Interviewed the professor about the new policy changes. Got some great quotes, but need to fact-check one."
"Summarized my research notes. Still a bit messy.","Actually, replace 'a bit messy' with 'all over the place'.","Summarized my research notes. Still all over the place."
"Finished grading student essays. Some really solid ones in there.","Wait, put 'but a few need major revisions' at the end.","Finished grading student essays. Some really solid ones in there, but a few need major revisions."
"Revised the manuscript. Smoothed out some awkward phrasing.","No, move 'Smoothed out some awkward phrasing' to the beginning.","Smoothed out some awkward phrasing. Revised the manuscript."
"Presented my research findings today. Got good feedback.","Actually, add 'but need to expand the discussion section' at the end.","Presented my research findings today. Got good feedback, but need to expand the discussion section."
"Attended a workshop on investigative journalism. Learned some new techniques.","Whoops, erase 'Learned some new techniques'.","Attended a workshop on investigative journalism."
"Transcribed the interview. Took way longer than expected.","Oop, change 'Took way longer than expected' to 'Nearly lost my mind doing it'.","Transcribed the interview. Nearly lost my mind doing it."
"Outlined the next chapter of my book. Pretty happy with it.","Actually, make that 'still needs work'.","Outlined the next chapter of my book. Still needs work."
"Rewrote the introduction. Flows much better now.","Wait, add 'but might tweak it again' at the end.","Rewrote the introduction. Flows much better now, but might tweak it again."
"Skimmed through my lecture notes. Lots to review.","No, move 'Lots to review' to the beginning.","Lots to review. Skimmed through my lecture notes."
"Formatted my citations. Took forever.","Actually, add 'but at least they’re consistent now' at the end.","Formatted my citations. Took forever, but at least they’re consistent now."
"Finished the rough draft of my article. Needs a better conclusion.","Whoops, erase 'Needs a better conclusion'.","Finished the rough draft of my article."
"Revised my thesis statement. Feels stronger now.","Nah actually, change 'stronger' to 'more focused'.","Revised my thesis statement. Feels more focused now."
"Sent my paper to my advisor. Hoping for good feedback.","Wait, put 'but expecting a ton of comments' at the end.","Sent my paper to my advisor. Hoping for good feedback, but expecting a ton of comments."
"Edited my field notes. Clarified some observations.","Oop, add 'especially the ones from last week' at the end.","Edited my field notes. Clarified some observations, especially the ones from last week."
"Prepared for tomorrow’s debate. Got all my points ready.","Actually, replace 'Got all my points ready' with 'Still tweaking my argument'.","Prepared for tomorrow’s debate. Still tweaking my argument."
"Finished my research proposal. Pretty solid draft.","No, move 'Pretty solid draft' to the beginning.","Pretty solid draft. Finished my research proposal."
"Reorganized my lecture slides. Flows much better now.","Whoops, erase 'Flows much better now'.","Reorganized my lecture slides."
"Updated my bibliography. Found a few missing references.","Oop, change 'a few' to 'way too many'.","Updated my bibliography. Found way too many missing references."
"Fact-checked my article before submission. Everything seems accurate.","Nah actually, add 'but double-checking one source' at the end.","Fact-checked my article before submission. Everything seems accurate, but double-checking one source."
"Annotated my textbook. Hopefully, this helps later.","Wait, add 'if I can read my own handwriting' at the end.","Annotated my textbook. Hopefully, this helps later, if I can read my own handwriting."
"Polished my cover letter. Feels professional.","Actually, make that 'still kinda generic'.","Polished my cover letter. Still kinda generic."
"Typed up my class notes. Much easier to read now.","Whoops, change 'Much easier' to 'Slightly easier'.","Typed up my class notes. Slightly easier to read now."
"Drafted the abstract for my paper. Concise and to the point.","Oop, add 'but might need more detail' at the end.","Drafted the abstract for my paper. Concise and to the point, but might need more detail."
"Analyzed the survey responses. Some interesting trends.","Nah actually, change 'Some interesting trends' to 'A few surprises'.","Analyzed the survey responses. A few surprises."
"Refined my argument for the op-ed. Reads better now.","No, move 'Reads better now' to the beginning.","Reads better now. Refined my argument for the op-ed."
"Practiced my conference presentation. Need to work on timing.","Wait, put 'especially the conclusion' at the end.","Practiced my conference presentation. Need to work on timing, especially the conclusion."
"Condensed my research findings into bullet points. Way more readable.","Actually, add 'but still too long' at the end.","Condensed my research findings into bullet points. Way more readable, but still too long."
"Read over my script. Flows pretty well.","Actually, it doesn't. Erase 'Flows pretty well'.","Read over my script."
"Jotted down ideas for my next article. Some good ones in there.","Oop, change 'Some good ones' to 'A couple decent ones'.","Jotted down ideas for my next article. A couple decent ones in there."
"Finalized my slides for the lecture. Should be good to go.","Nah actually, add 'but I’ll probably tweak them again' at the end.","Finalized my slides for the lecture. Should be good to go, but I’ll probably tweak them again."
"Revised the conclusion of my book chapter. Feels more satisfying now.","Wait, put 'but still not perfect' at the end.","Revised the conclusion of my book chapter. Feels more satisfying now, but still not perfect."
"Summarized the key points from the meeting. Sent them to the team.","No, move 'Sent them to the team' to the beginning.","Sent them to the team. Summarized the key points from the meeting."
"Proofread my blog post. No major errors.","Actually, add 'but changed a few awkward sentences' at the end.","Proofread my blog post. No major errors, but changed a few awkward sentences."
